No;Province;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Month;Disaster
36; Banten;3;;;;65;;22;;;;;;;;;2020;102;11;Land_Slide
51; Bali;3;;;;;;3;;;;;;;;;2020;102;11;Land_Slide
62; Kalimantan Tengah;1;3;7;;;;;;;;;;;;;2020;102;11;Land_Slide
64; Kalimantan Timur;1;;;;58;;14;;;1;;;;;;2020;102;11;Land_Slide
73; Sulawesi Selatan;1;;;;;;1;;;;;;;;;2020;102;11;Land_Slide
11; Aceh;1;;;;3437;;;;;;;;;;;2020;103;11;Flood and Land Slide
13; Sumatera Barat;1;;;;3250;;;;;;;;;;;2020;103;11;Flood and Land Slide
15; Jambi;2;;;;2483;;;;;;;;;;;2020;103;11;Flood and Land Slide
32; Jawa Barat;1;;;;365;;;;;;;;;;;2020;103;11;Flood and Land Slide
33; Jawa Tengah;2;2;;;10196;4624;141;2;;1;;;;;;2020;103;11;Flood and Land Slide
35; Jawa Timur;1;;;;57;85;;;;;;;;;;2020;103;11;Flood and Land Slide
11; Aceh;2;;;2;5;;2;;;;;;;;;2020;105;11;Tornado
12; Sumatera Utara;2;;;;;;127;;;;;;;;;2020;105;11;Tornado
13; Sumatera Barat;3;;;;;;3;;;;;;;;;2020;105;11;Tornado
14; Riau;2;;;1;5;;2;;;;;;;;;2020;105;11;Tornado
15; Jambi;1;1;;;;;1;;;;;;;;;2020;105;11;Tornado
17; Bengkulu;1;;;;;;9;;;;;;;;;2020;105;11;Tornado
19; Bangka Belitung;3;;;;53;;44;;;;;;;;;2020;105;11;Tornado
32; Jawa Barat;57;2;;4;3540;38;1170;;;1;;;;;;2020;105;11;Tornado
33; Jawa Tengah;31;;;7;542;14;312;3;;1;;;;;4;2020;105;11;Tornado
34; Yogyakarta;7;;;;18;;72;;;;;;;;;2020;105;11;Tornado
35; Jawa Timur;14;;;1;895;62;238;1;;4;;;;;4;2020;105;11;Tornado
36; Banten;2;;;;;;7;;;;;;;;;2020;105;11;Tornado
51; Bali;2;;;;;;13;;;;;;;;;2020;105;11;Tornado
52; Nusa Tenggara Barat;10;;;9;1266;;309;1;1;2;;1;;;;2020;105;11;Tornado
53; Nusa Tenggara Timur;1;;;;15;;5;;;;;;;;;2020;105;11;Tornado
61; Kalimantan Barat;1;1;;1;;;34;;;1;;;;;;2020;105;11;Tornado
63; Kalimantan Selatan;5;;;1;72;;15;;;;;;;;;2020;105;11;Tornado
64; Kalimantan Timur;2;;;;;;12;;;;;;;;;2020;105;11;Tornado
65; Kalimantan Utara;2;;;;2;4;2;;;;;;;;;2020;105;11;Tornado
71; Sulawesi Utara;1;;;;;;20;1;;;;;;;;2020;105;11;Tornado
73; Sulawesi Selatan;5;;;;337;;25;;;;;;;;;2020;105;11;Tornado
74; Sulawesi Tenggara;1;;;;25;;5;;;;;;;;;2020;105;11;Tornado
16; Sumatera Selatan;1;;;;;;;;;;;;;;;2020;107;11;Forest Fire
52; Nusa Tenggara Barat;2;;;;;;;;;;;;;;;2020;107;11;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2020;107;11;Forest Fire
64; Kalimantan Timur;1;;;;;;;;;;;;;;;2020;107;11;Forest Fire
65; Kalimantan Utara;1;;;;;;;;;;;;;;;2020;107;11;Forest Fire
32; Jawa Barat;1;;;;;;2;;;;;;;;;2020;108;11;Earthquake
33; Jawa Tengah;3;;;;;911;;;;;;;;;;2020;111;11;Volcano Eruption
34; Yogyakarta;1;;;;;225;;;;;;;;;;2020;111;11;Volcano Eruption
53; Nusa Tenggara Timur;1;;;;;9028;;;;;;;;;;2020;111;11;Volcano Eruption
11; Aceh;11;1;;;44776;4728;42;;;;;;3;;;2020;101;12;Flood
12; Sumatera Utara;15;11;2;;126958;12607;209;5;;;;;;;;2020;101;12;Flood
14; Riau;4;;;;4060;75;;;;;;;;;;2020;101;12;Flood
15; Jambi;3;;;;2175;;;;;;;;;;;2020;101;12;Flood
16; Sumatera Selatan;2;;;;;;;;;;;;;;;2020;101;12;Flood
31; Jakarta;2;;;;1067;;;;;;;;;;;2020;101;12;Flood
32; Jawa Barat;16;;;;49170;50;56;;;;;;;;;2020;101;12;Flood
33; Jawa Tengah;42;;;3;47394;2345;289;;;;;;2;;;2020;101;12;Flood
35; Jawa Timur;26;4;1;;70053;10;;;;11;;;;;;2020;101;12;Flood
36; Banten;6;;;;56369;15305;;;;;;;;;;2020;101;12;Flood
52; Nusa Tenggara Barat;7;3;;;10388;;3;2;1;;;1;1;;;2020;101;12;Flood
63; Kalimantan Selatan;3;;;;2818;;;;;;;;;;;2020;101;12;Flood
64; Kalimantan Timur;2;;;;4235;;;;;;;;;;;2020;101;12;Flood
65; Kalimantan Utara;1;;;;;;;;;;;;;;;2020;101;12;Flood
73; Sulawesi Selatan;5;;;;1230;445;;;;;;;;;;2020;101;12;Flood
75; Gorontalo;2;;;;5266;;1;;;;;;;;;2020;101;12;Flood
94; Papua;1;;;;;450;;;;;;;;;;2020;101;12;Flood
11; Aceh;8;1;;;39;;9;;;;;;2;;;2020;102;12;Land_Slide
12; Sumatera Utara;2;1;;1;1555;;;;;;;;;;;2020;102;12;Land_Slide
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020;102;12;Land_Slide
14; Riau;2;;;;10;;7;;;;;;;;;2020;102;12;Land_Slide
32; Jawa Barat;53;1;;3;2317;895;231;;;;;;;;;2020;102;12;Land_Slide
33; Jawa Tengah;56;2;;3;1919;1887;437;6;;5;;1;2;;1;2020;102;12;Land_Slide
34; Yogyakarta;1;;;;;;1;;;;;;;;;2020;102;12;Land_Slide
36; Banten;1;;;;20;;8;;;;;;;;;2020;102;12;Land_Slide
51; Bali;2;;;;;;8;;;;;;;;;2020;102;12;Land_Slide
52; Nusa Tenggara Barat;3;;;2;;;4;;;;;;;;;2020;102;12;Land_Slide
64; Kalimantan Timur;2;;;;;;2;;;;;;;;;2020;102;12;Land_Slide
65; Kalimantan Utara;3;;;;;;1;;;;;;;;;2020;102;12;Land_Slide
73; Sulawesi Selatan;1;;;;15;;3;;;;;;;;;2020;102;12;Land_Slide
11; Aceh;3;5;;;27157;42625;6;;;;;;2;;;2020;103;12;Flood and Land Slide
12; Sumatera Utara;1;;;;3815;;;;;;;;;;;2020;103;12;Flood and Land Slide
13; Sumatera Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020;103;12;Flood and Land Slide
21; Kepulauan Riau;1;;;;1905;8;12;;1;;;;;;;2020;103;12;Flood and Land Slide
32; Jawa Barat;3;;;;39651;122;12;1;;;;;;;;2020;103;12;Flood and Land Slide
33; Jawa Tengah;3;;;;2741;7500;4;2;;;;;;;;2020;103;12;Flood and Land Slide
35; Jawa Timur;1;;;;2945;;;;;;;;;;;2020;103;12;Flood and Land Slide
36; Banten;1;4;2;;27662;;96;2;;8;;13;1;;;2020;103;12;Flood and Land Slide
11; Aceh;1;;;;10;;;;;;;;;;;2020;104;12;Abration
33; Jawa Tengah;4;;;;690;;1;;;;;;1;;22;2020;104;12;Abration
61; Kalimantan Barat;1;;;;;;11;;;;;;;;;2020;104;12;Abration
63; Kalimantan Selatan;1;;;;41;;10;;;;;;;;;2020;104;12;Abration
73; Sulawesi Selatan;1;;;;1000;;;;;;;;;;;2020;104;12;Abration
11; Aceh;2;;;;3;1;2;;;;;;;;;2020;105;12;Tornado
12; Sumatera Utara;1;;;;;;14;;;1;;;;;;2020;105;12;Tornado
16; Sumatera Selatan;1;;;;;;23;;;;;;;;;2020;105;12;Tornado
17; Bengkulu;2;;;;;;9;;;;;;;;;2020;105;12;Tornado
18; Lampung;1;;;;105;;21;;;;;;;;;2020;105;12;Tornado
19; Bangka Belitung;2;;;;;;19;;;;;;;;;2020;105;12;Tornado
32; Jawa Barat;66;2;;13;813;19;393;4;;1;;;;;;2020;105;12;Tornado
33; Jawa Tengah;17;;;1;45;7;94;1;;1;;;;;5;2020;105;12;Tornado
35; Jawa Timur;6;;;;;;97;;;2;;;;;4;2020;105;12;Tornado
36; Banten;5;;;;65;;15;;;;;;;;;2020;105;12;Tornado
51; Bali;9;;;2;125;;43;;;;;;;;;2020;105;12;Tornado
52; Nusa Tenggara Barat;5;;;;60;;46;;;1;;;;;;2020;105;12;Tornado
61; Kalimantan Barat;1;;;;10;;2;;;;;;;;;2020;105;12;Tornado
63; Kalimantan Selatan;10;;;;65;;51;;;1;;;;;3;2020;105;12;Tornado
64; Kalimantan Timur;3;;;;;;52;;;1;;;;;;2020;105;12;Tornado
72; Sulawesi Tengah;1;;;;20;;;;;;;;;;;2020;105;12;Tornado
73; Sulawesi Selatan;14;;;;323;;75;1;1;;;;;;;2020;105;12;Tornado
74; Sulawesi Tenggara;1;;;;75;;28;;;;;;;;;2020;105;12;Tornado
76; Sulawesi Barat;1;;;;34;;6;;;;;;;;;2020;105;12;Tornado
81; Maluku;1;;;;20;;1;;;;;;;;;2020;105;12;Tornado
14; Riau;1;;;;;;;;;;;;;;;2020;107;12;Forest Fire
64; Kalimantan Timur;1;;;;;;;;;;;;;;;2020;107;12;Forest Fire
32; Jawa Barat;1;;;;;;23;;;;;;;;;2020;108;12;Earthquake
35; Jawa Timur;1;;1;;6490;335;;;;;;;;;;2020;111;12;Volcano Eruption
11; Aceh;23;;;;68781;10493;19;;;;;;1;;;2021;101;1;Flood
12; Sumatera Utara;1;;;;2310;;;;;;;;;;;2021;101;1;Flood
13; Sumatera Barat;3;;;;15099;;;;;;;;;;;2021;101;1;Flood
14; Riau;1;;;;1360;;;;;;;;;;;2021;101;1;Flood
15; Jambi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;1;Flood
16; Sumatera Selatan;1;0;0;0;0;50;0;0;0;0;0;0;0;0;0;2021;101;1;Flood
18; Lampung;5;0;0;0;0;0;100;0;0;0;0;0;0;0;0;2021;101;1;Flood
19; Bangka Belitung;20;0;0;0;2570;150;255;0;0;0;0;0;1;0;0;2021;101;1;Flood
21; Kepulauan Riau;4;;;;5677;1540;;;;;;;;;;2021;101;1;Flood
31; Jakarta;2;;;;185;;;;;;;;;;;2021;101;1;Flood
32; Jawa Barat;15;0;0;0;127485;448;11;0;0;0;0;0;1;0;0;2021;101;1;Flood
33; Jawa Tengah;63;0;0;0;109413;576;73;0;0;0;1;0;2;0;0;2021;101;1;Flood
34; Yogyakarta;1;;;;335;;;;;;;;1;;;2021;101;1;Flood
35; Jawa Timur;38;0;1;0;139112;1537;26;0;0;0;0;0;0;0;0;2021;101;1;Flood
36; Banten;6;;;;4454;;;;;;;;;;;2021;101;1;Flood
51; Bali;2;;;;;;4;;;;;;;;;2021;101;1;Flood
52; Nusa Tenggara Barat;15;4;1;;45846;100;3;;;;;;;;;2021;101;1;Flood
53; Nusa Tenggara Timur;3;;;;80;;;;;;;;;;;2021;101;1;Flood
61; Kalimantan Barat;6;0;0;0;2857;32;0;0;0;0;0;0;2;0;0;2021;101;1;Flood
63; Kalimantan Selatan;12;28;;871;616230;177129;21270;585;126;496;;196;38;;;2021;101;1;Flood
64; Kalimantan Timur;2;;;;147;;;;;;;;;;;2021;101;1;Flood
65; Kalimantan Utara;1;;;;2752;;;;;;;;;;;2021;101;1;Flood
71; Sulawesi Utara;4;6;;;2481;500;;;;;;;;;;2021;101;1;Flood
72; Sulawesi Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;1;Flood
73; Sulawesi Selatan;1;;;;1710;;;;;;;;;;;2021;101;1;Flood
82; Maluku Utara;2;;;;3913;1801;5;;;;;;1;;;2021;101;1;Flood
94; Papua;2;;;;1230;780;11;1;;;;;;;;2021;101;1;Flood
11; Aceh;2;;;;5;;1;;;;;;;;;2021;102;1;Land_Slide
12; Sumatera Utara;12;0;0;0;0;0;78;0;0;0;0;0;2;0;0;2021;102;1;Land_Slide
18; Lampung;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;2021;102;1;Land_Slide
32; Jawa Barat;20;40;0;25;781;2297;170;0;0;1;0;0;1;0;0;2021;102;1;Land_Slide
33; Jawa Tengah;119;1;0;6;165;47;128;1;0;0;3;0;6;0;0;2021;102;1;Land_Slide
35; Jawa Timur;8;0;0;0;219;0;3;0;0;0;7;0;0;0;0;2021;102;1;Land_Slide
51; Bali;3;;;;;;1;;;;;;;;;2021;102;1;Land_Slide
61; Kalimantan Barat;2;0;0;0;4;0;1;0;0;0;0;0;0;0;0;2021;102;1;Land_Slide
63; Kalimantan Selatan;1;9;1;;22;;;;;;;;;;;2021;102;1;Land_Slide
64; Kalimantan Timur;3;;;;72;15;5;;;;;;;;;2021;102;1;Land_Slide
73; Sulawesi Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;1;Land_Slide
74; Sulawesi Tenggara;1;;;;35;;7;;;;;;;;;2021;102;1;Land_Slide
76; Sulawesi Barat;1;;;;;;7;;;;;;;;;2021;102;1;Land_Slide
81; Maluku;1;;;;4;;1;;;;;;;;;2021;102;1;Land_Slide
11; Aceh;3;3;;;8742;1121;2;;;;;;;;;2021;103;1;Flood and Land Slide
13; Sumatera Barat;1;;;;15;;3;;;;;;3;;;2021;103;1;Flood and Land Slide
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;103;1;Flood and Land Slide
21; Kepulauan Riau;1;;;;3210;411;;;;;;;;;;2021;103;1;Flood and Land Slide
32; Jawa Barat;1;;;;20;;;;;;;;;;;2021;103;1;Flood and Land Slide
33; Jawa Tengah;1;;;1;;;1;;;;;;;;;2021;103;1;Flood and Land Slide
61; Kalimantan Barat;1;;;;;;;;;;;;1;;;2021;103;1;Flood and Land Slide
63; Kalimantan Selatan;1;7;;5;142579;13062;1;;;;;;19;;;2021;103;1;Flood and Land Slide
71; Sulawesi Utara;2;3;;2;;3136;13;;;;;;;;;2021;103;1;Flood and Land Slide
76; Sulawesi Barat;1;;;;35;;7;;;;;;1;;;2021;103;1;Flood and Land Slide
14; Riau;2;;;;;;36;;;;;;;;;2021;104;1;Abration
19; Bangka Belitung;1;0;0;0;45;0;8;0;0;0;0;0;0;0;0;2021;104;1;Abration
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;1;Abration
61; Kalimantan Barat;1;;;;190;;45;;;;;;;;29;2021;104;1;Abration
62; Kalimantan Tengah;1;;;;35;;7;;;;;;;;;2021;104;1;Abration
71; Sulawesi Utara;2;;;;82;;29;;;;;;;;;2021;104;1;Abration
11; Aceh;2;;;;9;5;15;;;;;;;;;2021;105;1;Tornado
12; Sumatera Utara;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;105;1;Tornado
13; Sumatera Barat;1;;;1;;;1;;;;;;;;;2021;105;1;Tornado
16; Sumatera Selatan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;1;Tornado
18; Lampung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;1;Tornado
19; Bangka Belitung;2;0;0;0;9;0;2;0;0;0;0;0;0;0;0;2021;105;1;Tornado
21; Kepulauan Riau;2;;;;;;14;;;;;;;;;2021;105;1;Tornado
32; Jawa Barat;16;;;6;1291;24;363;;;3;;;;;;2021;105;1;Tornado
33; Jawa Tengah;18;0;0;1;200;0;128;0;0;0;1;0;0;0;1;2021;105;1;Tornado
35; Jawa Timur;9;0;0;5;780;0;252;1;0;1;0;0;0;0;1;2021;105;1;Tornado
36; Banten;1;;;;5;;1;;;;;;;;;2021;105;1;Tornado
51; Bali;2;;;;;;2;;;;;;;;8;2021;105;1;Tornado
52; Nusa Tenggara Barat;2;;;;10;;7;;;;;;;;;2021;105;1;Tornado
53; Nusa Tenggara Timur;2;0;0;0;0;0;19;0;0;0;0;0;0;0;0;2021;105;1;Tornado
61; Kalimantan Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;1;Tornado
71; Sulawesi Utara;3;;;;;63;7;;;;;;;;;2021;105;1;Tornado
72; Sulawesi Tengah;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2021;105;1;Tornado
73; Sulawesi Selatan;5;0;0;0;0;0;18;0;0;0;0;0;0;0;0;2021;105;1;Tornado
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;1;Tornado
82; Maluku Utara;1;;;;;;11;;;;;;;;;2021;105;1;Tornado
33; Jawa Tengah;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;1;Forest Fire
62; Kalimantan Tengah;1;;;;;;;;;;;;;;;2021;107;1;Forest Fire
18; Lampung;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;1;Earthquake
71; Sulawesi Utara;1;;;;40;;8;;2;2;;1;;;;2021;108;1;Earthquake
76; Sulawesi Barat;5;107;3;11124;20448;95057;16116;231;48;99;;81;7;;5;2021;108;1;Earthquake
81; Maluku;1;;;;;;;;;;;;;;;2021;108;1;Earthquake
91; Papua Barat;1;;;;;;;;;;;;;;;2021;108;1;Earthquake
94; Papua;1;;;;;;;;;;;;;;;2021;108;1;Earthquake
18; Lampung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;110;1;Earthquake and Tsunami
11; Aceh;2;;;;375;;;;;;;;;;;2021;101;2;Flood
12; Sumatera Utara;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;2;Flood
16; Sumatera Selatan;4;0;0;0;1970;5;0;0;0;0;0;0;0;0;0;2021;101;2;Flood
18; Lampung;3;0;0;0;1417;0;708;0;0;0;0;0;0;0;0;2021;101;2;Flood
31; Jakarta;9;4;1;;29460;7190;;;;;;;;;;2021;101;2;Flood
32; Jawa Barat;27;11;;269;618442;96428;131;27;5;36;;7;;;;2021;101;2;Flood
33; Jawa Tengah;66;0;0;1;598957;11010;474;0;0;0;1;0;0;0;0;2021;101;2;Flood
35; Jawa Timur;20;2;1;;70677;1070;73;;;;;;3;;;2021;101;2;Flood
36; Banten;14;;;11;47387;7096;;;;;;;;;;2021;101;2;Flood
52; Nusa Tenggara Barat;16;1;;;18194;400;66;;;1;;;4;;;2021;101;2;Flood
53; Nusa Tenggara Timur;5;;;;461;;3;;;;;;1;;;2021;101;2;Flood
61; Kalimantan Barat;4;0;0;0;2052;148;0;0;0;0;0;0;0;0;0;2021;101;2;Flood
62; Kalimantan Tengah;4;;;;1095;;;;;;;;;;;2021;101;2;Flood
63; Kalimantan Selatan;1;;;;1843;;;;;;;;;;;2021;101;2;Flood
72; Sulawesi Tengah;1;;;;363;23;8;;;;;;;;;2021;101;2;Flood
75; Gorontalo;1;;;;35;;;;;;;;;;;2021;101;2;Flood
82; Maluku Utara;2;;;;1533;;20;;;;;;;;;2021;101;2;Flood
94; Papua;3;;;;370;4506;2;;;;;;1;;;2021;101;2;Flood
12; Sumatera Utara;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2021;102;2;Land_Slide
16; Sumatera Selatan;4;0;0;0;4;0;1;0;0;0;0;0;0;0;0;2021;102;2;Land_Slide
18; Lampung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;2;Land_Slide
31; Jakarta;1;;;;20;;;;;;;;;;;2021;102;2;Land_Slide
32; Jawa Barat;64;;;10;930;661;172;1;;1;;1;;;1;2021;102;2;Land_Slide
33; Jawa Tengah;106;5;0;10;41;10;78;0;0;3;1;0;1;0;0;2021;102;2;Land_Slide
35; Jawa Timur;10;29;0;22;416;418;29;2;0;0;0;0;0;0;0;2021;102;2;Land_Slide
36; Banten;1;;;;2;;1;;;;;;;;;2021;102;2;Land_Slide
53; Nusa Tenggara Timur;1;;;;20;;;;;;;;;;;2021;102;2;Land_Slide
61; Kalimantan Barat;2;0;0;0;0;30;12;0;0;0;0;0;0;0;0;2021;102;2;Land_Slide
72; Sulawesi Tengah;1;6;1;3;;;;;;;;;;;;2021;102;2;Land_Slide
32; Jawa Barat;4;3;3;;396105;39069;24;;;;;;2;;;2021;103;2;Flood and Land Slide
33; Jawa Tengah;3;7;;;85315;1270;13;1;;;;;;;;2021;103;2;Flood and Land Slide
35; Jawa Timur;1;;;;85;;15;;;;;;;;;2021;103;2;Flood and Land Slide
36; Banten;1;;;;25580;40;;;;;;;;;;2021;103;2;Flood and Land Slide
52; Nusa Tenggara Barat;1;;;;60;;1;;;;;;;;;2021;103;2;Flood and Land Slide
82; Maluku Utara;1;;;;2645;;49;;;;;;;;;2021;103;2;Flood and Land Slide
53; Nusa Tenggara Timur;1;;;;65;;;;;;;;;;;2021;104;2;Abration
71; Sulawesi Utara;1;;;;;175;2;1;;;;;;;;2021;104;2;Abration
73; Sulawesi Selatan;1;;;;30;;;;;;;;;;;2021;104;2;Abration
81; Maluku;1;;;;;;28;;;;;;;;;2021;104;2;Abration
82; Maluku Utara;2;;;;1395;;57;;;;;;;;;2021;104;2;Abration
11; Aceh;4;0;0;0;33;0;4;0;0;0;0;0;0;0;0;2021;105;2;Tornado
13; Sumatera Barat;1;;;;5;;1;;;;;;;;;2021;105;2;Tornado
16; Sumatera Selatan;1;;;;;;28;;;;;;;;;2021;105;2;Tornado
17; Bengkulu;1;;;;3;;1;;;;;;;;;2021;105;2;Tornado
18; Lampung;6;0;0;3;142;0;72;0;0;0;0;0;0;0;0;2021;105;2;Tornado
32; Jawa Barat;38;;;2;543;26;123;;;;;;;;1;2021;105;2;Tornado
33; Jawa Tengah;44;0;0;6;1755;49;898;3;1;7;0;1;0;2;11;2021;105;2;Tornado
35; Jawa Timur;18;0;0;3;500;0;227;1;0;3;12;0;0;0;7;2021;105;2;Tornado
36; Banten;8;;;2;407;;122;1;;;;;;;;2021;105;2;Tornado
52; Nusa Tenggara Barat;2;;;;344;;25;1;;;;;;;;2021;105;2;Tornado
63; Kalimantan Selatan;2;0;0;0;15;0;6;0;0;0;0;0;0;0;0;2021;105;2;Tornado
64; Kalimantan Timur;1;;;;;;12;;;;;;;;;2021;105;2;Tornado
73; Sulawesi Selatan;4;1;0;7;20;250;118;0;0;0;0;0;0;0;17;2021;105;2;Tornado
13; Sumatera Barat;1;;;;1280;;;;;;;;;;;2021;106;2;Drought
11; Aceh;17;;;;;;;;;;;;;;;2021;107;2;Forest Fire
12; Sumatera Utara;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;2;Forest Fire
13; Sumatera Barat;7;;;;;;;;;;;;;;;2021;107;2;Forest Fire
14; Riau;26;;;;4;;;;;;;;;;;2021;107;2;Forest Fire
16; Sumatera Selatan;1;;;4;50;;11;;;;;;;;;2021;107;2;Forest Fire
33; Jawa Tengah;3;1;0;0;0;2;3;0;0;0;0;0;0;0;0;2021;107;2;Forest Fire
61; Kalimantan Barat;7;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2021;107;2;Forest Fire
62; Kalimantan Tengah;7;;;;;;;;;;;;;;;2021;107;2;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2021;107;2;Forest Fire
17; Bengkulu;3;;;;;;;;;;;;;;;2021;108;2;Earthquake
71; Sulawesi Utara;1;;;;;;;;;;;;;;;2021;108;2;Earthquake
76; Sulawesi Barat;1;;;;;;;;;;;;;;;2021;108;2;Earthquake
82; Maluku Utara;1;;;10;;169;890;3;2;6;;3;1;;;2021;108;2;Earthquake
11; Aceh;8;;1;;3373;286;21;;;;;;;;10;2021;101;3;Flood
12; Sumatera Utara;5;1;0;0;53456;125;38;0;0;0;0;0;3;0;0;2021;101;3;Flood
13; Sumatera Barat;7;;;;3830;;2;;;;;;3;;;2021;101;3;Flood
14; Riau;1;;;;1895;;;;;;;;;;;2021;101;3;Flood
16; Sumatera Selatan;6;0;0;0;55;0;0;0;0;0;0;0;0;0;0;2021;101;3;Flood
18; Lampung;3;;;;2360;;;;;;;;;;;2021;101;3;Flood
19; Bangka Belitung;8;0;0;0;0;0;140;0;0;0;0;0;0;0;0;2021;101;3;Flood
32; Jawa Barat;23;0;0;0;91678;222;7;0;0;0;0;0;1;0;0;2021;101;3;Flood
33; Jawa Tengah;18;0;0;0;298156;37;450;6;0;14;0;3;5;0;0;2021;101;3;Flood
35; Jawa Timur;32;0;0;0;43664;56;16;0;0;0;0;0;0;0;0;2021;101;3;Flood
36; Banten;2;;;;198;;;;;;;;;;;2021;101;3;Flood
51; Bali;2;;;;;;;;;;;;;;;2021;101;3;Flood
52; Nusa Tenggara Barat;6;;;;10866;;6;;;;;;2;;;2021;101;3;Flood
53; Nusa Tenggara Timur;1;;;;;;;;;;;;;;;2021;101;3;Flood
61; Kalimantan Barat;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;3;Flood
62; Kalimantan Tengah;3;;;;3215;;;;;;;;;;;2021;101;3;Flood
63; Kalimantan Selatan;5;;;;7476;306;1;1;1;1;;1;;;;2021;101;3;Flood
64; Kalimantan Timur;1;;;;975;;;;;;;;;;;2021;101;3;Flood
65; Kalimantan Utara;1;;;;1201;;;;;;;;;;;2021;101;3;Flood
71; Sulawesi Utara;4;;;;600;163;3;;;;;;;;;2021;101;3;Flood
72; Sulawesi Tengah;2;0;0;0;0;899;292;0;0;0;0;0;0;0;0;2021;101;3;Flood
73; Sulawesi Selatan;4;;;;3749;;;;;;;;2;;;2021;101;3;Flood
75; Gorontalo;3;;;;3547;;10;;;;;;1;;;2021;101;3;Flood
81; Maluku;1;;;;50;;;;;;;;;;;2021;101;3;Flood
82; Maluku Utara;1;;;;150;;2;;;;;;;;;2021;101;3;Flood
94; Papua;1;;;;40040;;;;;;;;13;;;2021;101;3;Flood
11; Aceh;3;2;;4;;;;1;;;;;;;;2021;102;3;Land_Slide
12; Sumatera Utara;10;0;0;0;0;14;17;0;0;0;0;0;0;0;0;2021;102;3;Land_Slide
13; Sumatera Barat;1;;;;2500;;;;;;;;;;;2021;102;3;Land_Slide
18; Lampung;1;;;;;;;;;;;;;;;2021;102;3;Land_Slide
32; Jawa Barat;57;;;3;1233;529;213;;;;;;;;;2021;102;3;Land_Slide
33; Jawa Tengah;30;0;0;3;45;14;25;0;0;0;0;0;0;0;0;2021;102;3;Land_Slide
35; Jawa Timur;7;0;0;0;110;65;6;0;0;0;0;0;0;0;0;2021;102;3;Land_Slide
36; Banten;1;;;;500;;;;;;;;;;;2021;102;3;Land_Slide
52; Nusa Tenggara Barat;1;;;;;;2;;;;;;;;;2021;102;3;Land_Slide
61; Kalimantan Barat;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;102;3;Land_Slide
64; Kalimantan Timur;1;;;;10;;;;;;;;;;;2021;102;3;Land_Slide
73; Sulawesi Selatan;1;;;;;;;;;;;;;;;2021;102;3;Land_Slide
32; Jawa Barat;1;1;;4;5;;49;;;;;;;;;2021;103;3;Flood and Land Slide
33; Jawa Tengah;1;;;;32;;;;;;;;;;;2021;103;3;Flood and Land Slide
35; Jawa Timur;3;;;;1983;11;9;;;;;;;;;2021;103;3;Flood and Land Slide
53; Nusa Tenggara Timur;1;;;;;;1;;;;;;;;;2021;103;3;Flood and Land Slide
76; Sulawesi Barat;1;1;;2;;;;;;;;;;;;2021;103;3;Flood and Land Slide
82; Maluku Utara;1;;;;;;2;;;;;;;;;2021;104;3;Abration
11; Aceh;2;;;;10;;2;;;;;;;;;2021;105;3;Tornado
12; Sumatera Utara;17;0;0;0;330;1;161;1;1;1;0;3;0;0;0;2021;105;3;Tornado
13; Sumatera Barat;7;;;1;1657;;24;;;;;;;;;2021;105;3;Tornado
14; Riau;2;;;;;;10;;;1;;;;;;2021;105;3;Tornado
16; Sumatera Selatan;2;0;0;0;55;0;11;0;0;0;0;0;0;0;0;2021;105;3;Tornado
17; Bengkulu;1;;;;;;;;;;;;;;;2021;105;3;Tornado
