No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
3; Bengkulu Utara;1;;;;;;2;;;;;;;;;2020;102;Land_Slide
4; Kaur;1;;;;81;;21;;;1;;;3;;;2020;102;Land_Slide
5; Seluma;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
6; Mukomuko;1;;;;;;1;;;;;;;;;2020;102;Land_Slide
71; Kota Bengkulu;1;;;;;;3;;;;;;;;;2020;102;Land_Slide
1; Bengkulu Selatan;1;;;;330;;;;;;;;;;;2020;103;Flood and Land Slide
2; Rejang Lebong;1;;;;1595;;;;;;;;;;;2020;103;Flood and Land Slide
5; Seluma;1;;;;;;;;;;;;1;;;2020;104;Abration
1; Bengkulu Selatan;2;;;;220;;12;;;;;;;;;2020;105;Tornado
2; Rejang Lebong;1;;;;60;;12;;;;;;;;;2020;105;Tornado
3; Bengkulu Utara;1;2;;;;;1;;;;;3;;;;2020;105;Tornado
9; Bengkulu Tengah;1;;;;;;3;;;;;;;;;2020;105;Tornado
71; Kota Bengkulu;3;;;;;;42;1;;;;;;;;2020;105;Tornado
4; Kaur;1;;;;125;;;;;;;;;;;2021;101;Flood
5; Seluma;1;;;;603;;;;;;;;1;;;2021;101;Flood
6; Mukomuko;1;;;;2250;;;;;;;;;;;2021;101;Flood
5; Seluma;1;;;;85;;;;;;;;1;;;2021;103;Flood and Land Slide
2; Rejang Lebong;1;;;;;;;;;;;;;;;2021;105;Tornado
5; Seluma;1;;;;3;;1;;;;;;;;;2021;105;Tornado
8; Kepahiang;1;2;;;;;1;;;;;;;;;2021;105;Tornado
3; Bengkulu Utara;2;;;;;;;;;;;;;;;2021;108;Earthquake
5; Seluma;1;;;;;;;;;;;;;;;2021;108;Earthquake
1; Lampung Barat;3;;;;25;;31;;;;;;30;;;2019;101;Flood
2; Tanggamus;2;;;;;;35;;;;;;2;;;2019;101;Flood
5; Lampung Tengah;1;;;;660;;;;;;;;3;;;2019;101;Flood
7; Way Kanan;1;;;;557;;;;;;;;;;;2019;101;Flood
8; Tulangbawang;1;1;;;8940;;;;;;;;;;;2019;101;Flood
9; Pesawaran;1;1;;;;;;;;;;;;;;2019;101;Flood
71; Kota Bandar Lampung;1;;;;;;2;4;;;;;;;;2019;101;Flood
1; Lampung Barat;4;;;;;;10;;;;;1;;;;2019;102;Land_Slide
13; Pesisir Barat;1;6;;2;;;8;1;;;;;1;;;2019;102;Land_Slide
1; Lampung Barat;2;;;;20;;31;;;;;;;;;2019;105;Tornado
2; Tanggamus;1;;;;;;11;1;;;;;;;;2019;105;Tornado
4; Lampung Timur;1;;;;;;20;;;;;;;;;2019;105;Tornado
5; Lampung Tengah;1;;;;;;102;;;;;;;;;2019;105;Tornado
8; Tulangbawang;2;;;;;;133;;;;;;;;;2019;105;Tornado
1; Lampung Barat;7;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Tanggamus;1;;;;;;;;;;;;;;;2019;107;Forest Fire
9; Pesawaran;20;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Lampung Selatan;1;;;;;1050;;;;;;;;;;2019;108;Earthquake
1; Lampung Barat;6;;;;30;;;;;1;;;2;;;2020;101;Flood
2; Tanggamus;4;;;;9187;352;2979;1;;2;;;;;;2020;101;Flood
3; Lampung Selatan;2;;;;;30;;;;;;;;;;2020;101;Flood
4; Lampung Timur;1;;;;44;;;;;;;;;;;2020;101;Flood
7; Way Kanan;1;;;;125;;;;;;;;;;;2020;101;Flood
8; Tulangbawang;1;;;;;;1;;;;;;;;;2020;101;Flood
9; Pesawaran;5;;;;1000;;;;;;;;;;;2020;101;Flood
13; Pesisir Barat;3;;;;;;;;;;;;;;;2020;101;Flood
71; Kota Bandar Lampung;2;;;;3213;565;968;;;;;;;;;2020;101;Flood
71; Kota Bandar Lampung;3;;;;;;4;;;;;;;;;2020;102;Land_Slide
9; Pesawaran;1;;;;;;;;;;;;;;;2020;104;Abration
13; Pesisir Barat;1;;;;20;;3;;;1;;;;;;2020;104;Abration
3; Lampung Selatan;2;;;;;;62;1;;;;;;;;2020;105;Tornado
4; Lampung Timur;7;;;;615;70;184;;;;;;;;;2020;105;Tornado
5; Lampung Tengah;1;;;;;;24;;;;;;;;;2020;105;Tornado
8; Tulangbawang;1;2;;9;;;271;;;;;;;;;2020;105;Tornado
9; Pesawaran;1;;;;;;10;;;;;;;;;2020;105;Tornado
11; Mesuji;1;;;;;;1;;;;;;;;;2020;105;Tornado
71; Kota Bandar Lampung;1;;;1;;;4;;;;;;;;;2020;105;Tornado
72; Kota Metro;1;;;;;;50;;;;;;;;;2020;105;Tornado
3; Lampung Selatan;1;;;;;;;;;;;;;;;2020;111;Volcano Eruption
1; Lampung Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
2; Tanggamus;4;0;0;0;0;0;264;0;0;0;0;0;0;0;0;2021;101;Flood
9; Pesawaran;11;0;0;0;3077;0;828;0;0;0;0;0;2;0;0;2021;101;Flood
11; Mesuji;3;;;;2360;;;;;;;;;;;2021;101;Flood
1; Lampung Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
2; Tanggamus;3;0;0;0;0;0;16;0;0;0;0;0;0;0;0;2021;102;Land_Slide
9; Pesawaran;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2021;102;Land_Slide
71; Kota Bandar Lampung;1;;;;;;2;;;;;;;;;2021;102;Land_Slide
2; Tanggamus;1;0;0;0;0;19;10;0;0;0;0;0;0;0;0;2021;104;Abration
1; Lampung Barat;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;Tornado
3; Lampung Selatan;4;;;;210;;31;;;;;;;;;2021;105;Tornado
4; Lampung Timur;10;;;3;640;;195;1;;;;;;;1;2021;105;Tornado
5; Lampung Tengah;1;;;;1190;;328;;;;;;;;;2021;105;Tornado
9; Pesawaran;10;0;0;0;1388;0;193;0;0;0;0;0;0;0;0;2021;105;Tornado
13; Pesisir Barat;1;;;;85;;17;;;;;;;;;2021;105;Tornado
1; Lampung Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;Earthquake
1; Lampung Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;110;Earthquake and Tsunami
2; Tanggamus;9;0;0;1;0;0;4;4;0;0;2;0;1;0;0;2022;101;Flood
9; Pesawaran;1;0;0;0;672;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
13; Pesisir Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
71; Kota Bandar Lampung;17;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2022;101;Flood
2; Tanggamus;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;102;Land_Slide
13; Pesisir Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
71; Kota Bandar Lampung;6;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2022;102;Land_Slide
2; Tanggamus;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2022;104;Abration
71; Kota Bandar Lampung;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;105;Tornado
71; Kota Bandar Lampung;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
13; Pesisir Barat;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2022;108;Earthquake
1; Bangka;4;;;1;478;;116;1;;1;;;;;;2019;101;Flood
2; Belitung;3;;;;2829;;155;;;;;;;;;2019;101;Flood
4; Bangka Tengah;1;;;;;;;;;;;;1;;;2019;101;Flood
5; Bangka Selatan;1;;;;;;;;;;;;;;;2019;101;Flood
71; Kota Pangkal Pinang;3;;;;157;;;;;;;;;;;2019;101;Flood
4; Bangka Tengah;1;4;;1;;;;;;;;;;;;2019;102;Land_Slide
2; Belitung;1;;;;20;;5;;;;;;;;;2019;105;Tornado
3; Bangka Barat;1;;;;;;17;2;;;;;;;;2019;105;Tornado
4; Bangka Tengah;2;;;;;;12;;;;;;;;;2019;105;Tornado
71; Kota Pangkal Pinang;2;;;;21;;6;;;;;;;;;2019;105;Tornado
2; Belitung;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Bangka Tengah;2;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Belitung;1;;;;50;20;;;;;;;;;;2020;101;Flood
4; Bangka Tengah;1;;;;350;;;;;;;;;;;2020;101;Flood
71; Kota Pangkal Pinang;1;;;;25;;;;;;;;;;;2020;101;Flood
1; Bangka;2;2;;;;;;;;;;;;;;2020;102;Land_Slide
3; Bangka Barat;1;1;;;;;;;;;;;;;;2020;102;Land_Slide
4; Bangka Tengah;2;7;;;;;;;;;;;;;;2020;102;Land_Slide
1; Bangka;7;;;;385;;84;;;;;;;;;2020;105;Tornado
3; Bangka Barat;4;;;;54;1;7;;;;;;;;;2020;105;Tornado
5; Bangka Selatan;2;;;;65;1;13;;;;;;;;;2020;105;Tornado
6; Belitung Timur;1;;;;;;13;;;;;;;;;2020;105;Tornado
71; Kota Pangkal Pinang;1;;;;35;2;7;;;;;;;;;2020;105;Tornado
6; Belitung Timur;1;;;;;;;;;;;;;;;2020;107;Forest Fire
71; Kota Pangkal Pinang;2;;;;;;;;;;;;;;;2020;107;Forest Fire
1; Bangka;2;0;0;0;0;0;358;0;0;0;0;0;0;0;0;2021;101;Flood
3; Bangka Barat;3;0;0;0;1;1929;552;0;0;0;0;0;1;0;0;2021;101;Flood
5; Bangka Selatan;3;0;0;0;0;0;141;0;0;0;0;0;1;0;0;2021;101;Flood
6; Belitung Timur;1;;;;845;;;;;;;;;;;2021;101;Flood
71; Kota Pangkal Pinang;66;0;0;0;1725;0;712;0;0;0;0;0;0;0;0;2021;101;Flood
1; Bangka;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
3; Bangka Barat;1;0;0;0;45;0;8;0;0;0;0;0;0;0;0;2021;104;Abration
3; Bangka Barat;3;0;0;3;6;18;8;0;0;0;0;0;0;0;0;2021;105;Tornado
5; Bangka Selatan;5;0;0;1;659;5;82;0;0;0;0;0;0;0;0;2021;105;Tornado
71; Kota Pangkal Pinang;32;0;0;0;9;0;36;0;0;0;0;0;0;0;0;2021;105;Tornado
4; Bangka Tengah;1;;;;;;;;;;;;;;;2021;107;Forest Fire
71; Kota Pangkal Pinang;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
1; Bangka;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2022;101;Flood
3; Bangka Barat;7;0;0;0;1140;792;198;0;0;0;0;0;0;0;0;2022;101;Flood
11; Empat Lawang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
1; Bangka;15;0;0;0;0;0;69;1;0;0;0;0;0;0;0;2022;105;Tornado
3; Bangka Barat;8;0;0;0;35;183;101;0;0;1;0;1;0;0;0;2022;105;Tornado
1; Bangka;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
3; Bangka Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
5; Bangka Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
2; Bintan;1;;;;1400;;1;3;;1;;3;;;;2019;101;Flood
2; Bintan;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
3; Natuna;1;;;;15;;3;;;;;;;;;2019;102;Land_Slide
71; Kota Batam;2;;;;;;6;;;;;;;;;2019;102;Land_Slide
1; Karimun;1;;;;;;;;;;;;;;;2019;105;Tornado
2; Bintan;2;;;;;;6;;;;;;;;;2019;105;Tornado
3; Natuna;2;;;;30;5;9;;;;;;;;1;2019;105;Tornado
4; Lingga;1;;;1;;;;;;;;;;;;2019;105;Tornado
71; Kota Batam;1;;;;;;7;;;;;;;;;2019;105;Tornado
2; Bintan;7;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Natuna;1;;;;;;;;;;;;;;;2019;107;Forest Fire
72; Kota Tanjung Pinang;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Bintan;1;;;;555;;;;;;;;;;;2020;101;Flood
3; Natuna;1;;;;;;;;;;;;;;;2020;101;Flood
5; Kepulauan Anambas;1;;;;1905;8;12;;1;;;;;;;2020;103;Flood and Land Slide
2; Bintan;3;;;;;;6;;;;;;;;;2020;105;Tornado
3; Natuna;1;;;;115;;23;;;;;;;;;2020;105;Tornado
4; Lingga;3;;;;22;4;3;;;;;;;;;2020;105;Tornado
5; Kepulauan Anambas;2;;;3;5;8;4;;;;;;;;;2020;105;Tornado
71; Kota Batam;1;;;;116;;33;;;;;;;;;2020;105;Tornado
2; Bintan;37;;;;;;;;;;;;;;;2020;107;Forest Fire
4; Lingga;9;;;;;;;;;;;;;;;2020;107;Forest Fire
71; Kota Batam;1;;;;;;1;;;;;;;;;2020;107;Forest Fire
72; Kota Tanjung Pinang;4;;;;;;;;;;;;;;;2020;107;Forest Fire
2; Bintan;2;;;;3212;1493;;;;;;;;;;2021;101;Flood
3; Natuna;1;;;;30;;;;;;;;;;;2021;101;Flood
5; Kepulauan Anambas;2;;;;2465;47;;;;;;;;;;2021;101;Flood
72; Kota Tanjung Pinang;1;;;;3210;411;;;;;;;;;;2021;103;Flood and Land Slide
2; Bintan;1;;;;;;2;;;;;;;;;2021;105;Tornado
3; Natuna;2;;;1;90;;30;;;;;1;;;;2021;105;Tornado
4; Lingga;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2022;105;Tornado
71; Kota Jakarta Selatan;1;2;;;;2258;;;;;;;;;;2019;101;Flood
72; Kota Jakarta Timur;1;;;;;;;;;;;;;;;2019;101;Flood
71; Kota Jakarta Selatan;1;;;;4;;1;;;;;;;;;2019;102;Land_Slide
72; Kota Jakarta Timur;1;;;;5;;1;;;;;;;;;2019;102;Land_Slide
71; Kota Jakarta Selatan;1;;;1;;;;;;1;;;;;;2019;105;Tornado
72; Kota Jakarta Timur;1;1;;;;;;;;;;;;;;2019;105;Tornado
75; Kota Jakarta Utara;1;;;;68;;;;;;;;;;;2019;105;Tornado
71; Kota Jakarta Selatan;17;2;;;3658;9039;;;;;;;;;;2020;101;Flood
72; Kota Jakarta Timur;17;10;;;62913;30201;;;;;;;;;;2020;101;Flood
73; Kota Jakarta Pusat;6;2;;;;2703;;;;;;;;;;2020;101;Flood
74; Kota Jakarta Barat;10;5;;;1180;10672;;;;;;;;;;2020;101;Flood
75; Kota Jakarta Utara;8;1;;;200;1920;;;;;;;;;;2020;101;Flood
71; Kota Jakarta Selatan;1;1;;2;600;1269;;;;;;;;;;2020;103;Flood and Land Slide
75; Kota Jakarta Utara;1;;;3;517;;134;;;;;;;;;2020;105;Tornado
71; Kota Jakarta Selatan;3;1;1;;8419;3689;;;;;;;;;;2021;101;Flood
72; Kota Jakarta Timur;6;;;;13442;2055;;;;;;;;;;2021;101;Flood
73; Kota Jakarta Pusat;1;;;;;;;;;;;;;;;2021;101;Flood
74; Kota Jakarta Barat;3;3;;;8988;1446;;;;;;;;;;2021;101;Flood
75; Kota Jakarta Utara;3;;;;;;;;;;;;;;;2021;101;Flood
72; Kota Jakarta Timur;1;;;;20;;;;;;;;;;;2021;102;Land_Slide
1; Bogor;18;1;;;6312;4;59;1;;2;;;3;;;2019;101;Flood
2; Sukabumi;5;;;;144;47;34;;;;;;4;;;2019;101;Flood
3; Cianjur;1;;;;26;;;;;;;;;;;2019;101;Flood
4; Bandung;8;3;;;153474;4903;18;12;;53;;;3;;;2019;101;Flood
5; Garut;15;;;;375;5;58;4;;3;;;2;;;2019;101;Flood
8; Kuningan;4;;;;5;90;18;;1;;;;;;;2019;101;Flood
9; Cirebon;16;;;;19160;203;;3;;8;;;;;;2019;101;Flood
10; Majalengka;7;;;;;;13;2;;4;;;2;;;2019;101;Flood
11; Sumedang;2;;;;;;;1;;1;;;;;;2019;101;Flood
12; Indramayu;1;;;;24813;1020;;;;;;;;;;2019;101;Flood
13; Subang;1;;;;;;;;;;;;;;;2019;101;Flood
15; Karawang;3;;;;931;;;2;;3;;;;;;2019;101;Flood
16; Bekasi;8;;;;7490;25;;1;;;;;;;;2019;101;Flood
17; Bandung Barat;4;;;;142;610;19;;;1;;;;;;2019;101;Flood
71; Kota Bogor;5;;;1;581;;;;;1;;;;;1;2019;101;Flood
72; Kota Sukabumi;1;;;;;;;;;;;;;;;2019;101;Flood
73; Kota Bandung;1;;;;1650;;;1;;;;;;;;2019;101;Flood
75; Kota Bekasi;4;;;;2393;39;300;;;;;;;;;2019;101;Flood
78; Kota Tasikmalaya;6;;;;19;;2;;;;;;;;;2019;101;Flood
1; Bogor;52;12;;10;735;154;161;1;;2;;;;;;2019;102;Land_Slide
2; Sukabumi;28;1;;3;672;347;123;2;;4;;;;;;2019;102;Land_Slide
3; Cianjur;1;2;;;;9;3;;;;;;;;;2019;102;Land_Slide
4; Bandung;4;;;;6;15;6;;;1;;;;;;2019;102;Land_Slide
5; Garut;19;;;5;8;131;20;;;;;;;;;2019;102;Land_Slide
6; Tasikmalaya;4;1;;;4;6;5;;;;;;;;;2019;102;Land_Slide
7; Ciamis;10;;;;112;9;32;2;;;;;;;;2019;102;Land_Slide
8; Kuningan;12;;;1;27;;11;1;;;;;;;;2019;102;Land_Slide
9; Cirebon;3;;;;10;;3;;;;;;;;;2019;102;Land_Slide
10; Majalengka;39;;;;5;127;49;1;;1;;;;;;2019;102;Land_Slide
11; Sumedang;5;;;;3;;7;;;;;;;;;2019;102;Land_Slide
14; Purwakarta;2;;;;;20;26;;1;2;;;;;;2019;102;Land_Slide
17; Bandung Barat;34;;;4;129;201;142;7;;1;;;2;;;2019;102;Land_Slide
71; Kota Bogor;23;;;;229;13;37;;;1;;;;;;2019;102;Land_Slide
77; Kota Cimahi;1;2;;6;;;;;;;;;;;;2019;102;Land_Slide
78; Kota Tasikmalaya;13;;;;25;;11;;;;;;;;1;2019;102;Land_Slide
15; Karawang;1;;;1;37;;8;;;;;;;;;2019;104;Abration
16; Bekasi;1;;;;;;;;;;;;;;;2019;104;Abration
1; Bogor;65;;;8;2981;91;817;6;2;5;;;;;8;2019;105;Tornado
2; Sukabumi;24;;;2;698;20;702;3;;3;;;;;1;2019;105;Tornado
3; Cianjur;1;;;;;;14;;;;;;;;;2019;105;Tornado
4; Bandung;9;;;16;4946;6743;4745;3;2;2;;1;;;;2019;105;Tornado
5; Garut;12;;;;5;14;116;;1;;;;;;;2019;105;Tornado
6; Tasikmalaya;4;;;;2;;9;;;;;;;;;2019;105;Tornado
7; Ciamis;11;;;1;173;2;191;;;;;;;;;2019;105;Tornado
8; Kuningan;7;;;1;6;;40;1;;1;;;;;1;2019;105;Tornado
9; Cirebon;10;;;;6;;27;;;;;;;;;2019;105;Tornado
10; Majalengka;10;;;1;299;8;121;2;;2;;;;;;2019;105;Tornado
11; Sumedang;5;;;;130;5;47;;;;;;;;;2019;105;Tornado
12; Indramayu;3;;;1;133;15;57;;;;;2;;;;2019;105;Tornado
14; Purwakarta;3;;;;80;;18;;;;;;;;;2019;105;Tornado
15; Karawang;6;1;;1;155;;1413;;;;;;;;;2019;105;Tornado
16; Bekasi;2;;;;;;195;;;;;;;;9;2019;105;Tornado
17; Bandung Barat;12;1;;;140;10;45;1;;;;;;;;2019;105;Tornado
18; Pangandaran;16;;;;26;32;21;;;;;;;;;2019;105;Tornado
71; Kota Bogor;22;;;;170;;85;2;;1;;;;;2;2019;105;Tornado
73; Kota Bandung;2;;;;;;50;;;;;;;;;2019;105;Tornado
75; Kota Bekasi;1;;;2;;;60;;;;;;;;;2019;105;Tornado
76; Kota Depok;1;1;;5;;;;;;;;;;;1;2019;105;Tornado
77; Kota Cimahi;2;;;;20;;7;;;;;;;;;2019;105;Tornado
78; Kota Tasikmalaya;25;;;5;132;5;65;1;;;;;;;1;2019;105;Tornado
1; Bogor;1;;;;16471;;;;;;;;;;;2019;106;Drought
2; Sukabumi;1;;;;6515;;;;;;;;;;;2019;106;Drought
3; Cianjur;1;;;;84945;;;;;;;;;;;2019;106;Drought
4; Bandung;1;;;;228790;;;;;;;;;;;2019;106;Drought
5; Garut;1;;;;;;;;;;;;;;;2019;106;Drought
7; Ciamis;2;;;;6915;;;;;;;;;;;2019;106;Drought
9; Cirebon;2;;;;90589;;;;;;;;;;;2019;106;Drought
10; Majalengka;1;;;;2280;;;;;;;;;;;2019;106;Drought
12; Indramayu;1;;;;;;;;;;;;;;;2019;106;Drought
13; Subang;1;;;;1600;;;;;;;;;;;2019;106;Drought
14; Purwakarta;1;;;;74930;;;;;;;;;;;2019;106;Drought
15; Karawang;1;;;;;;;;;;;;;;;2019;106;Drought
16; Bekasi;2;;;;23960;;;;;;;;;;;2019;106;Drought
17; Bandung Barat;1;;;;310885;;;;;;;;;;;2019;106;Drought
71; Kota Bogor;1;;;;2975;;;;;;;;;;;2019;106;Drought
74; Kota Cirebon;1;;;;8265;;;;;;;;;;;2019;106;Drought
78; Kota Tasikmalaya;1;;;;24890;;;;;;;;;;;2019;106;Drought
1; Bogor;1;;;;;;;;;;;;;;;2019;107;Forest Fire
2; Sukabumi;1;;;;;;;;;;;;;;;2019;107;Forest Fire
4; Bandung;7;;;;;;;;;;;;;;;2019;107;Forest Fire
5; Garut;2;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Tasikmalaya;1;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Kuningan;8;;;;69;;;;;;;;;;;2019;107;Forest Fire
9; Cirebon;6;;;;;;;;;;;;;;;2019;107;Forest Fire
10; Majalengka;8;;;;;;;;;;;;;;;2019;107;Forest Fire
11; Sumedang;31;;;;62665;;;;;;;;;;;2019;107;Forest Fire
14; Purwakarta;1;;;;;;;;;;;;;;;2019;107;Forest Fire
17; Bandung Barat;1;;;;;;;;;;;;;;;2019;107;Forest Fire
18; Pangandaran;3;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Bogor;1;;;;308;13;32;;;1;;;;;;2019;108;Earthquake
2; Sukabumi;4;2;;1;478;32;148;7;;4;;;;;;2019;108;Earthquake
3; Cianjur;1;;;;;;31;;;1;;;;;;2019;108;Earthquake
4; Bandung;1;;;;;;2;;;;;;;;;2019;108;Earthquake
5; Garut;2;;;;;;4;1;;;;;;;;2019;108;Earthquake
17; Bandung Barat;1;;;;;;6;;;;;;;;;2019;108;Earthquake
71; Kota Bogor;1;;;;;;1;;;;;;;;;2019;108;Earthquake
78; Kota Tasikmalaya;2;;;;;;;1;;1;;;;;;2019;108;Earthquake
17; Bandung Barat;1;;;;15;;;;;;;;;;;2019;111;Volcano Eruption
1; Bogor;37;;;2;48854;421;37;3;;1;;;4;;;2020;101;Flood
2; Sukabumi;6;3;;20;1612;210;332;;;1;;;10;;1;2020;101;Flood
3; Cianjur;1;;;;;;1;;;;;;;;;2020;101;Flood
4; Bandung;17;1;;1;557360;10758;11;150;;270;;;;;;2020;101;Flood
5; Garut;10;;;;9215;1385;1174;15;10;26;;;23;;;2020;101;Flood
6; Tasikmalaya;3;;;;2500;;;;;;;;;;;2020;101;Flood
7; Ciamis;10;2;;;21931;262;;;;;;;;;10;2020;101;Flood
8; Kuningan;5;;;;78;;6;;;;;;1;;;2020;101;Flood
9; Cirebon;26;0;0;0;97054;874;3;0;0;0;0;0;0;0;0;2020;101;Flood
10; Majalengka;5;1;;;748;;;;;;;;2;;;2020;101;Flood
11; Sumedang;13;;;;8445;113;14;;;2;;;1;;;2020;101;Flood
12; Indramayu;4;;;;42897;;65;;;;;;;;;2020;101;Flood
13; Subang;3;;;;8582;1216;;;;;;;;;;2020;101;Flood
14; Purwakarta;3;;;;231;;3;;;;;;;;;2020;101;Flood
15; Karawang;8;;;;156348;19712;181;;;;;;;;;2020;101;Flood
16; Bekasi;17;1;1;;100035;3648;4;;;;;;;;;2020;101;Flood
17; Bandung Barat;4;;;;1030;;4;1;;;;;3;;;2020;101;Flood
18; Pangandaran;6;;;;3305;;;;;;;;;;;2020;101;Flood
71; Kota Bogor;7;1;;;122;;4;;;;;;;;;2020;101;Flood
73; Kota Bandung;7;;;;13173;;2;;;;;;;;;2020;101;Flood
74; Kota Cirebon;6;;;;6200;;;;;;;;;;;2020;101;Flood
75; Kota Bekasi;7;15;;;125823;369226;;;;;;;;;;2020;101;Flood
76; Kota Depok;6;4;;1;6602;205;;;;;;;;;;2020;101;Flood
77; Kota Cimahi;6;2;;;1481;;5;;;;;;;;;2020;101;Flood
1; Bogor;114;8;;17;2081;427;244;4;1;1;;;2;;;2020;102;Land_Slide
2; Sukabumi;38;;;5;1687;54;101;;;;;;2;;;2020;102;Land_Slide
3; Cianjur;7;1;;2;363;;69;;;;;;;;;2020;102;Land_Slide
4; Bandung;9;;;;46;;14;;;;;;;;;2020;102;Land_Slide
5; Garut;18;1;;1;1834;847;159;;;;;;;;;2020;102;Land_Slide
6; Tasikmalaya;11;2;;2;380;;21;;;;;;;;;2020;102;Land_Slide
7; Ciamis;29;;;;355;4;118;;;;;;;;;2020;102;Land_Slide
8; Kuningan;20;;;;297;3;33;1;;;;;;;;2020;102;Land_Slide
9; Cirebon;1;;;;5;;1;;;;;;;;;2020;102;Land_Slide
10; Majalengka;16;;;;25;8;20;;;;;;2;;;2020;102;Land_Slide
11; Sumedang;44;2;;13;212;93;139;;;1;;1;;;;2020;102;Land_Slide
13; Subang;4;;;;11;;7;;;;;;;;;2020;102;Land_Slide
14; Purwakarta;8;1;;3;32;;17;;;;;;1;;;2020;102;Land_Slide
16; Bekasi;1;;;;;12;12;;;;;;;;;2020;102;Land_Slide
17; Bandung Barat;28;1;;3;1307;55;78;;;1;;;;;;2020;102;Land_Slide
18; Pangandaran;3;;;;8;;5;;;;;;;;;2020;102;Land_Slide
71; Kota Bogor;35;1;;;200;11;48;;;;;;;;;2020;102;Land_Slide
73; Kota Bandung;3;;;;55;;6;;;;;;;;;2020;102;Land_Slide
74; Kota Cirebon;1;;;;;;;;;;;;1;;;2020;102;Land_Slide
76; Kota Depok;2;;;;15;;7;;;;;;;;;2020;102;Land_Slide
77; Kota Cimahi;1;;;;8;;;;;;;;;;;2020;102;Land_Slide
78; Kota Tasikmalaya;9;;;;4;15;16;;;;;;;;;2020;102;Land_Slide
79; Kota Banjar;5;;;;20;3;9;;;;;;;;;2020;102;Land_Slide
1; Bogor;6;11;;;36709;22504;2378;41;;37;;5;33;;;2020;103;Flood and Land Slide
2; Sukabumi;1;;;;20;100;;;;;;;;;;2020;103;Flood and Land Slide
3; Cianjur;2;;;;4851;;;;;;;;8;;;2020;103;Flood and Land Slide
4; Bandung;2;;;;39560;122;;;;;;;;;;2020;103;Flood and Land Slide
6; Tasikmalaya;1;1;;2;1110;212;4;2;;2;;;1;;;2020;103;Flood and Land Slide
7; Ciamis;1;;;;;;;;;;;;;;;2020;103;Flood and Land Slide
8; Kuningan;2;;;;78;;;;;;;;;;;2020;103;Flood and Land Slide
17; Bandung Barat;1;;;;26;;5;;;;;;;;;2020;103;Flood and Land Slide
18; Pangandaran;1;2;;;311;;;;;;;;;;;2020;103;Flood and Land Slide
18; Pangandaran;1;;;;370;;;;;;;;;;;2020;104;Abration
1; Bogor;176;;;13;6175;243;1526;5;;4;;;1;;2;2020;105;Tornado
2; Sukabumi;22;;;1;984;13;562;4;;2;;;;;;2020;105;Tornado
3; Cianjur;2;;;;;;5;2;;;;;;;;2020;105;Tornado
4; Bandung;15;;;;1133;;323;;;;;;;;;2020;105;Tornado
5; Garut;7;;;1;;;30;;;;;;;;;2020;105;Tornado
6; Tasikmalaya;6;;;;12;;9;;;;;;;;;2020;105;Tornado
